,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,salary_derived
0,221,engineering,0.0,0.932867640125,4,0.0,low,0.829896195856,Left,5.0,0
1,232,support,0.0,,3,0.0,low,0.83454379486,Employed,2.0,0
2,184,sales,0.0,0.7888298419059999,3,0.0,medium,0.83498761146,Employed,3.0,1
3,206,sales,0.0,0.5756879305479999,4,0.0,low,0.42476428845499997,Employed,2.0,0
4,249,sales,0.0,0.8452174722229999,3,0.0,low,0.779043096207,Employed,3.0,0
5,140,sales,0.0,0.589097371097,4,0.0,medium,0.660019904653,Employed,4.0,1
6,121,sales,1.0,0.6253988297559999,3,0.0,low,0.8355705513320001,Employed,3.0,0
7,150,engineering,0.0,0.644585844252,4,0.0,low,0.7966833950409999,Employed,3.0,0
8,215,engineering,1.0,0.524113534303,3,0.0,medium,0.715005031778,Employed,7.0,1
9,269,support,0.0,0.909364329867,5,0.0,medium,0.994037397572,Employed,2.0,1
10,147,sales,0.0,,2,0.0,medium,0.403551807833,Left,3.0,1
11,188,sales,1.0,0.925479635028,6,0.0,low,0.48140860191299994,Employed,5.0,0
12,191,support,0.0,0.946723810178,5,0.0,low,0.925337129205,Employed,4.0,0
13,290,engineering,0.0,0.770247874835,6,0.0,medium,0.09034279289930001,Left,4.0,1
14,253,sales,0.0,0.579966136579,5,0.0,medium,0.627725954785,Employed,6.0,1
15,258,support,0.0,0.8375025132100001,5,0.0,medium,0.849667273388,Left,5.0,1
16,151,engineering,0.0,0.452832173339,4,0.0,medium,0.658608148415,Employed,3.0,1
17,252,IT,0.0,0.9191962922210001,5,0.0,low,0.893364991385,Left,5.0,0
18,276,product,0.0,0.570038733441,4,0.0,low,0.38226020148100004,Employed,2.0,0
19,154,marketing,0.0,,2,0.0,low,0.42222487368100003,Left,3.0,0
20,259,product,0.0,0.763606785571,2,0.0,low,0.787468036595,Employed,3.0,0
21,136,marketing,0.0,,3,0.0,low,0.441057742416,Employed,3.0,0
22,176,IT,0.0,,3,0.0,low,0.871386303936,Employed,3.0,0
23,231,support,0.0,0.937508765506,4,0.0,medium,0.668369478474,Employed,3.0,1
25,109,sales,1.0,0.79806865971,3,0.0,low,0.5378283407,Employed,3.0,0
26,130,procurement,1.0,0.716030369805,6,0.0,low,0.17545398857,Employed,6.0,0
27,163,sales,0.0,0.550433958621,2,0.0,medium,0.544376725538,Employed,3.0,1
29,184,sales,0.0,0.762948071371,4,0.0,medium,0.61761099451,Employed,3.0,1
30,268,engineering,0.0,0.943844634761,3,0.0,low,0.936081051349,Employed,4.0,0
31,188,finance,0.0,0.862307681863,3,0.0,medium,1.0,Employed,4.0,1
32,107,engineering,0.0,0.474348552013,2,0.0,medium,0.615676166623,Employed,3.0,1
33,156,sales,0.0,0.621111081488,3,0.0,medium,0.428014178318,Employed,3.0,1
34,234,IT,1.0,0.8615650350660001,4,0.0,medium,0.627199942868,Employed,2.0,1
35,127,sales,0.0,,5,0.0,low,0.8343801414409999,Employed,3.0,0
36,282,IT,0.0,0.723354974146,5,0.0,medium,0.21399181926199998,Employed,3.0,1
37,133,sales,0.0,0.971212666951,3,0.0,low,0.8188199040199999,Employed,4.0,0
38,270,engineering,0.0,0.475292596644,6,0.0,low,0.150336701933,Employed,5.0,0
39,184,,0.0,1.0,5,0.0,low,0.29712401191599996,Employed,5.0,0
40,132,marketing,0.0,0.495013019585,2,0.0,low,0.438559831841,Left,3.0,0
41,126,support,1.0,0.821486564704,3,0.0,low,0.772891198476,Employed,10.0,0
42,139,product,0.0,0.856088542854,4,0.0,medium,0.683456025422,Employed,3.0,1
43,308,engineering,0.0,0.863262837113,7,0.0,medium,0.12435022511299999,Left,4.0,1
45,147,engineering,0.0,,2,0.0,low,0.401974706734,Left,3.0,0
46,274,support,0.0,0.8423573127449999,5,0.0,medium,0.803068372458,Left,6.0,1
47,278,sales,0.0,0.7662557761059999,7,0.0,low,0.148641753756,Left,4.0,0
48,156,engineering,0.0,0.988904841707,4,0.0,medium,0.456248436343,Employed,2.0,1
49,185,sales,0.0,0.598749268628,4,0.0,low,0.869204283803,Employed,2.0,0
50,263,sales,0.0,0.744946770195,6,0.0,low,0.759619999861,Employed,6.0,0
51,260,sales,0.0,0.765783959048,5,0.0,low,0.7113291174519999,Employed,3.0,0
52,224,support,0.0,0.561019606401,5,0.0,medium,0.905668551956,Employed,2.0,1
53,224,sales,0.0,0.910270844185,4,0.0,medium,0.615978243951,Employed,10.0,1
54,135,sales,0.0,0.533361920913,2,0.0,low,0.388070140261,Left,3.0,0
55,147,marketing,0.0,0.713746663503,2,0.0,low,0.967868020835,Employed,3.0,0
56,245,engineering,0.0,0.932526593689,7,0.0,medium,0.061173622746199995,Left,4.0,1
57,203,product,1.0,0.49447927450900003,3,0.0,medium,0.49237655522600005,Employed,3.0,1
58,235,finance,1.0,0.73584977947,4,0.0,high,0.928861452039,Employed,2.0,3
59,187,IT,0.0,0.734682887881,3,0.0,low,0.213485171732,Employed,5.0,0
60,132,management,0.0,0.535231622309,2,0.0,low,0.42982208453000004,Left,3.0,0
61,258,product,0.0,0.8137737730760001,7,0.0,low,0.14659318475400002,Left,4.0,0
62,165,engineering,0.0,0.522047696785,4,0.0,low,0.851394379473,Employed,2.0,0
63,146,sales,0.0,0.531577278913,2,0.0,low,0.40195381894599996,Left,3.0,0
64,159,,0.0,0.6941007196279999,3,0.0,low,0.556401858998,Employed,3.0,0
65,198,engineering,0.0,0.749982470997,2,0.0,medium,0.5269607252449999,Left,2.0,1
66,159,marketing,0.0,0.483106967958,2,0.0,low,0.43881926966000007,Left,3.0,0
67,275,product,0.0,0.573595902184,2,0.0,low,0.8946585127779999,Employed,3.0,0
68,141,support,0.0,0.9324622172700001,3,0.0,medium,0.8107253215670001,Employed,3.0,1
69,173,finance,0.0,,4,0.0,low,0.862683386414,Employed,3.0,0
70,203,sales,0.0,0.586132024189,5,0.0,medium,0.7037557887379999,Employed,2.0,1
71,203,engineering,0.0,0.60609019318,4,0.0,low,0.274144973785,Employed,5.0,0
72,230,sales,0.0,0.801731335549,5,0.0,medium,0.129582617236,Employed,4.0,1
73,168,sales,0.0,0.589119714762,4,0.0,low,0.475901903919,Employed,2.0,0
74,183,IT,0.0,0.7161328456389999,3,0.0,low,0.786998508273,Employed,3.0,0
75,246,support,0.0,0.32841671516800003,5,0.0,medium,0.46155334875799997,Employed,3.0,1
76,209,engineering,0.0,0.707901456874,5,0.0,low,0.8315822395450001,Employed,3.0,0
77,224,sales,0.0,1.0,3,0.0,medium,0.527417463367,Employed,6.0,1
78,143,support,0.0,0.5832228237039999,2,0.0,low,0.477948490242,Left,3.0,0
79,140,sales,0.0,0.999150412396,2,0.0,medium,0.503040551037,Employed,2.0,1
80,212,support,0.0,0.7890820210680001,3,0.0,low,0.725231676188,Employed,4.0,0
81,156,marketing,0.0,0.50256282621,3,0.0,low,0.6355032887100001,Employed,5.0,0
82,186,IT,0.0,0.859763957297,3,0.0,medium,0.72966753059,Employed,2.0,1
83,162,sales,0.0,0.502258814493,3,0.0,low,0.800482237797,Employed,3.0,0
84,158,support,0.0,0.543576313346,2,0.0,low,0.35252008265100004,Left,3.0,0
